case,pa_x_cm,pa_y_cm,pa_z_cm,va_x_cms,va_y_cms,va_z_cms,pb_x_cm,pb_y_cm,pb_z_cm,vb_x_cms,vb_y_cms,vb_z_cms,safety_cm,horizon_ms,expected_risk,expected_tcpa_ms,expected_dcpa_cm,telemetry_a_hex,telemetry_b_hex
12,-9936,18062,7252,1397,-436,-224,-1587,7009,-8092,942,-498,583,902,6411,0,17974,12197,d702010005000001000c000000000000ffffd9300000468e00001c540575fe4cff201572,d702010005000002000c000000000000fffff9cd00001b61ffffe06403aefe0e0247780e
13,14712,-7519,-1897,-164,-621,-1475,-19015,-13985,2254,1942,-76,-1612,270,14147,0,15812,2958,d702010005000001000d00000000000000003978ffffe2a1fffff897ff5cfd93fa3df206,d702010005000002000d000000000000ffffb5b9ffffc95f000008ce0796ffb4f9b4efd8
14,-10681,-4179,18470,1699,-294,1800,4150,-7267,-6670,-1880,-378,-816,371,5243,0,,29351,d702010005000001000e000000000000ffffd647ffffefad0000482606a3feda070820a1,d702010005000002000e00000000000000001036ffffe39dffffe5f2f8a8fe86fcd0420f
15,8510,-1812,-13039,1740,1539,-1343,-6895,-6295,-9322,-1353,151,66,412,14609,0,,16468,d702010005000001000f0000000000000000213efffff8ecffffcd1106cc0603fac1de56,d702010005000002000f000000000000ffffe511ffffe769ffffdb96fab700970042fc68
16,-15687,-19413,7551,1921,-1729,-812,-19251,-8905,15127,279,-1213,-266,839,8996,0,,13435,d7020100050000010010000000000000ffffc2b9ffffb42b00001d7f0781f93ffcd45c24,d7020100050000020010000000000000ffffb4cdffffdd3700003b170117fb43fef6ba56
17,3911,19553,1811,213,-351,1011,10538,-17289,-2418,-878,-6,1954,807,14894,0,10884,34039,d702010005000001001100000000000000000f4700004c610000071300d5fea103f31b22,d70201000500000200110000000000000000292affffbc77fffff68efc92fffa07a20b14
18,-16401,11204,-18765,1753,275,-1886,5837,-10506,7385,-532,1633,983,603,1164,0,345,40593,d7020100050000010012000000000000ffffbfef00002bc4ffffb6b306d90113f8a282ad,d7020100050000020012000000000000000016cdffffd6f600001cd9fdec066103d7df30
19,6398,-9304,-9714,206,-335,1354,-8060,12293,8153,161,-469,238,497,2073,0,17530,24613,d7020100050000010013000000000000000018feffffdba8ffffda0e00cefeb1054a35d9,d7020100050000020013000000000000ffffe0840000300500001fd900a1fe2b00eeb9e7
20,9905,-650,14042,381,-1977,1227,9559,7292,-13626,-595,-1131,165,247,9695,0,,28787,d7020100050000010014000000000000000026b1fffffd76000036da017df84704cbd309,d70201000500000200140000000000000000255700001c7cffffcac6fdadfb9500a524c3
21,-18379,11849,-16058,-1004,-1381,-240,-7961,-5290,-5489,1201,-1992,-1026,545,6358,0,,22671,d7020100050000010015000000000000ffffb83500002e49ffffc146fc14fa9bff10fd69,d7020100050000020015000000000000ffffe0e7ffffeb56ffffea8f04b1f838fbfeb35b
22,9757,16194,-10192,1826,-1106,-1756,-2283,-2353,-12613,634,677,911,665,9811,0,2149,20993,d70201000500000100160000000000000000261d00003f42ffffd8300722fbaef9248e47,d7020100050000020016000000000000fffff715fffff6cfffffcebb027a02a5038fd5ff
23,16817,-7409,-9962,-1360,1213,-465,19854,-3743,-370,-1044,1961,846,812,11322,0,,10708,d7020100050000010017000000000000000041b1ffffe30fffffd916fab004bdfe2fc0c9,d702010005000002001700000000000000004d8efffff161fffffe8efbec07a9034e1b94
24,-2055,-756,-3112,-376,1809,-1027,-6792,14051,-12543,1228,1735,1904,276,4066,0,3253,14574,d7020100050000010018000000000000fffff7f9fffffd0cfffff3d8fe880711fbfd5e09,d7020100050000020018000000000000ffffe578000036e3ffffcf0104cc06c70770d1b4
25,18567,-15797,407,1944,-1436,-376,11016,17207,-1213,278,1181,-1302,698,13767,0,,33895,d702010005000001001900000000000000004887ffffc24b000001970798fa64fe888846,d702010005000002001900000000000000002b0800004337fffffb430116049dfaeacbb5
26,12743,6574,-4910,-1543,109,833,10086,-3076,10378,1964,-1621,-1406,271,6042,0,1322,17274,d702010005000001001a000000000000000031c7000019aeffffecd2f9f9006d0341a0d1,d702010005000002001a00000000000000002766fffff3fc0000288a07acf9abfa82045c
27,-9852,2758,14930,1650,1564,-156,-18673,2133,-435,-367,400,-422,957,13299,0,,17728,d702010005000001001b000000000000ffffd98400000ac600003a520672061cff644870,d702010005000002001b000000000000ffffb70f00000855fffffe4dfe910190fe5ab420
28,-7709,18110,17828,1563,64,-978,18245,16260,-5964,-1482,1727,1100,629,11471,0,8043,13604,d702010005000001001c000000000000ffffe1e3000046be000045a4061b0040fc2e0f54,d702010005000002001c0000000000000000474500003f84ffffe8b4fa3606bf044c0ed9
29,774,13077,2102,-804,-595,1231,-7305,9080,14300,1051,-1691,375,831,5359,0,3916,12149,d702010005000001001d000000000000000003060000331500000836fcdcfdad04cf0450,d702010005000002001d000000000000ffffe37700002378000037dc041bf965017739a8
30,16420,-17777,6731,-698,752,-27,-8133,18359,13737,-416,1811,-158,245,13590,0,,44246,d702010005000001001e00000000000000004024ffffba8f00001a4bfd4602f0ffe55f4a,d702010005000002001e000000000000ffffe03b000047b7000035a9fe600713ff62c0fd
31,3146,-626,17717,889,657,-1931,-19787,14363,9655,907,334,-1343,478,2850,0,22191,24367,d702010005000001001f00000000000000000c4afffffd8e0000453503790291f87526c2,d702010005000002001f000000000000ffffb2b50000381b000025b7038b014efac1f945
32,10839,-17265,-4354,-1230,385,1895,-6227,4978,8239,-295,1569,1508,531,8989,0,,30734,d702010005000001002000000000000000002a57ffffbc8fffffeefefb3201810767170c,d7020100050000020020000000000000ffffe7ad000013720000202ffed9062105e442b2
33,3144,-2468,3876,1153,308,-1429,-8719,12593,-9802,-207,-943,395,214,9540,0,4102,21004,d702010005000001002100000000000000000c48fffff65c00000f2404810134fa6ba44b,d7020100050000020021000000000000ffffddf100003131ffffd9b6ff31fc51018bfff4
34,17217,-7035,-18297,66,-1181,1265,-8686,-7800,-11284,929,-134,1040,820,3947,0,13075,19933,d702010005000001002200000000000000004341ffffe485ffffb8870042fb6304f1a09c,d7020100050000020022000000000000ffffde12ffffe188ffffd3ec03a1ff7a04102802
35,-4921,12120,-1798,429,334,1947,7110,242,-11222,-85,345,-191,186,3030,0,,19355,d7020100050000010023000000000000ffffecc700002f58fffff8fa01ad014e079b4edb,d702010005000002002300000000000000001bc6000000f2ffffd42affab0159ff418ed7
36,12728,108,-7654,-742,804,1644,7793,-15266,6281,-1903,1497,824,668,2008,0,6539,18654,d7020100050000010024000000000000000031b80000006cffffe21afd1a0324066c52ee,d702010005000002002400000000000000001e71ffffc45e00001889f89105d90338bebb
37,-1124,7967,12269,-359,687,-715,1061,1786,-11866,301,573,-179,809,13145,0,14662,21616,d7020100050000010025000000000000fffffb9c00001f1f00002fedfe9902affd3557f3,d702010005000002002500000000000000000425000006faffffd1a6012d023dff4da259
38,-5800,16015,-3840,48,-1859,1692,11145,-6504,-8466,-501,-1856,-822,976,13489,0,,28559,d7020100050000010026000000000000ffffe95800003e8ffffff1000030f8bd069cb799,d702010005000002002600000000000000002b89ffffe698ffffdeeefe0bf8c0fcca3c99
39,-12203,16052,-43,-1180,422,-1556,-7477,-2050,19143,128,-190,1217,901,1735,0,,26797,d7020100050000010027000000000000ffffd05500003eb4ffffffd5fb6401a6f9ecd398,d7020100050000020027000000000000ffffe2cbfffff7fe00004ac70080ff4204c1d6af
40,10572,498,17927,26,-661,-1741,6249,-14203,15351,280,285,-1902,818,6033,0,14807,5039,d70201000500000100280000000000000000294c000001f200004607001afd6bf9331f80,d702010005000002002800000000000000001869ffffc88500003bf70118011df892f5cd
41,-125,9930,15266,-145,-819,-1155,-16855,-7978,-18488,-810,779,599,908,6213,0,12630,27770,d7020100050000010029000000000000ffffff83000026ca00003ba2ff6ffccdfb7de4d2,d7020100050000020029000000000000ffffbe29ffffe0d6ffffb7c8fcd6030b0257d9d3
42,-9988,14954,-16991,1555,1630,173,-11391,12950,10624,-1576,346,-359,951,7408,0,658,27631,d702010005000001002a000000000000ffffd8fc00003a6affffbda10613065e00ad79f7,d702010005000002002a000000000000ffffd3810000329600002980f9d8015afe9936aa
43,9310,-4865,747,-1800,-478,-210,-19859,15926,-19886,1480,-487,943,427,5950,0,9898,22900,d702010005000001002b0000000000000000245effffecff000002ebf8f8fe22ff2e4440,d702010005000002002b000000000000ffffb26d00003e36ffffb25205c8fe1903af0f2f
44,16543,-16389,-6098,1801,-208,-1197,8419,5997,-3606,968,31,-84,553,12267,0,,23944,d702010005000001002c0000000000000000409fffffbffbffffe82e0709ff30fb535e93,d702010005000002002c000000000000000020e30000176dfffff1ea03c8001fffacca83
45,10598,2349,13665,-174,-1937,452,8287,-3057,-4125,-1050,-304,-1724,157,14536,0,,18736,d702010005000001002d000000000000000029660000092d00003561ff52f86f01c4eb3d,d702010005000002002d0000000000000000205ffffff40fffffefe3fbe6fed0f9447d3e
46,5058,-19227,-18176,-841,1290,1144,-909,1946,18859,-511,1611,-28,535,8650,0,24331,30279,d702010005000001002e000000000000000013c2ffffb4e5ffffb900fcb7050a0478fc59,d702010005000002002e000000000000fffffc730000079a000049abfe01064bffe40d5a
47,4673,1331,13378,-1494,875,1818,-10054,-8546,2806,618,-249,55,785,1964,0,154,20639,d702010005000001002f000000000000000012410000053300003442fa2a036b071a79b1,d702010005000002002f000000000000ffffd8baffffde9e00000af6026aff0700377498
48,-17768,4905,-17175,-636,-486,-297,1145,9190,-19053,544,-1725,-1122,386,8729,0,,19483,d7020100050000010030000000000000ffffba9800001329ffffbce9fd84fe1afed72633,d702010005000002003000000000000000000479000023e6ffffb5930220f943fb9edcbd
49,9594,10507,11715,1257,1121,-593,-10201,14986,-7471,-45,130,401,693,3520,0,,27928,d70201000500000100310000000000000000257a0000290b00002dc304e90461fdaffbac,d7020100050000020031000000000000ffffd82700003a8affffe2d1ffd30082019182f0
50,7508,421,12047,1614,1803,-1104,19654,1003,5296,-1874,-1957,-1293,250,7992,0,1643,11060,d702010005000001003200000000000000001d54000001a500002f0f064e070bfbb0cb55,d702010005000002003200000000000000004cc6000003eb000014b0f8aef85bfaf329fb
51,-10032,-2299,-13853,-705,1850,-1783,-16716,-16800,10638,121,1535,-282,406,3098,0,,29236,d7020100050000010033000000000000ffffd8d0fffff705ffffc9e3fd3f073af9091b5f,d7020100050000020033000000000000ffffbeb4ffffbe600000298e007905fffee6deda
52,11927,7109,-18304,-1671,448,1283,-4124,-18859,-19618,-944,-1339,508,137,10051,0,,30556,d702010005000001003400000000000000002e9700001bc5ffffb880f97901c005033c74,d7020100050000020034000000000000ffffefe4ffffb655ffffb35efc50fac501fc2a59
53,6882,10097,-7361,-378,1666,-940,18860,-7891,11403,-442,-600,-891,419,2559,0,,28620,d702010005000001003500000000000000001ae200002771ffffe33ffe860682fc546ee0,d7020100050000020035000000000000000049acffffe12d00002c8bfe46fda8fc85d23f
54,7228,-18498,-4494,1127,-1057,-963,-12911,-11991,1785,408,219,-1253,239,4806,0,,22075,d702010005000001003600000000000000001c3cffffb7beffffee720467fbdffc3d7355,d7020100050000020036000000000000ffffcd91ffffd129000006f9019800dbfb1b66d9
55,-5525,10506,3410,-50,1250,-1461,-19489,-8227,-13350,427,-71,-1133,292,3182,0,,28754,d7020100050000010037000000000000ffffea6b0000290a00000d52ffce04e2fa4bd220,d7020100050000020037000000000000ffffb3dfffffdfddffffcbda01abffb9fb93f5c7
56,14431,16005,-17352,1768,915,1319,-18628,-14025,-3199,86,-1921,1925,930,2739,0,,46850,d70201000500000100380000000000000000385f00003e85ffffbc3806e803930527919c,d7020100050000020038000000000000ffffb73cffffc937fffff3810056f87f0785aab5
57,-4544,-13866,-14075,-1636,1613,1679,5377,-12630,-11683,5,1059,1852,912,11333,0,,10279,d7020100050000010039000000000000ffffee40ffffc9d6ffffc905f99c064d068f297a,d702010005000002003900000000000000001501ffffceaaffffd25d00050423073c8313
58,-13944,-14151,-13021,-842,-1208,1843,-11909,13980,4681,-1236,720,-1082,569,10309,0,,33299,d702010005000001003a000000000000ffffc988ffffc8b9ffffcd23fcb6fb4807332362,d702010005000002003a000000000000ffffd17b0000369c00001249fb2c02d0fbc666e5
59,6145,-11011,-16671,560,417,349,-718,1812,2684,1968,-845,-1216,750,9064,0,9318,7940,d702010005000001003b00000000000000001801ffffd4fdffffbee1023001a1015dbb52,d702010005000002003b000000000000fffffd320000071400000a7c07b0fcb3fb401cdb
60,3819,16307,-9231,1111,296,189,-756,2439,5313,415,-82,577,572,14968,0,,20610,d702010005000001003c00000000000000000eeb00003fb3ffffdbf10457012800bdcaae,d702010005000002003c000000000000fffffd0c00000987000014c1019fffae02413a5c
61,3395,-12445,-19310,1583,1003,131,6530,8981,19331,1994,-1391,-1145,273,3960,0,13192,25533,d702010005000001003d00000000000000000d43ffffcf63ffffb492062f03eb00837876,d702010005000002003d000000000000000019820000231500004b8307cafa91fb878309
62,11527,-18070,-11335,95,1082,975,2825,103,12326,1063,1375,1189,735,1565,0,,31077,d702010005000001003e00000000000000002d07ffffb96affffd3b9005f043a03cf94c0,d702010005000002003e00000000000000000b0900000067000030260427055f04a5b1cd
63,-4136,-14984,-3894,-1504,-835,-141,15081,14758,-8615,408,795,954,855,8785,0,,35723,d702010005000001003f000000000000ffffefd8ffffc578fffff0cafa20fcbdff734c6e,d702010005000002003f00000000000000003ae9000039a6ffffde590198031b03ba1bb5
64,-19063,-3975,2692,-1370,-455,386,8281,-12847,11545,-1995,1514,-637,843,12120,0,8207,23383,d7020100050000010040000000000000ffffb589fffff07900000a84faa6fe39018289af,d702010005000002004000000000000000002059ffffcdd100002d19f83505eafd837fee
65,5974,11566,-6509,1228,-1731,501,8874,1438,-4622,-477,9,-593,809,9296,0,3454,5428,d70201000500000100410000000000000000175600002d2effffe69304ccf93d01f54f00,d7020100050000020041000000000000000022aa0000059effffedf2fe230009fdaf6306
66,4617,-9397,8649,187,733,1536,16333,9919,13773,-143,83,-738,841,4341,0,4923,19960,d702010005000001004200000000000000001209ffffdb4b000021c900bb02dd0600368b,d702010005000002004200000000000000003fcd000026bf000035cdff710053fd1e41a3
67,7485,16505,-10417,294,-1218,100,-3160,-10213,-2865,-906,1136,930,851,5586,0,5717,25169,d702010005000001004300000000000000001d3d00004079ffffd74f0126fb3e0064407d,d7020100050000020043000000000000fffff3a8ffffd81bfffff4cffc76047003a21409
68,7099,9115,-11491,-1635,1325,79,13675,-17674,1400,1589,-363,-1961,603,10097,0,,30447,d702010005000001004400000000000000001bbb0000239bffffd31df99d052d004fd250,d70201000500000200440000000000000000356bffffbaf6000005780635fe95f8579d29
69,-11773,-13711,-7302,1262,-52,-1984,-3635,-3254,-17573,1909,-609,1085,633,14001,0,3161,13403,d7020100050000010045000000000000ffffd203ffffca71ffffe37a04eeffccf84049f9,d7020100050000020045000000000000fffff1cdfffff34affffbb5b0775fd9f043d27fd
70,7427,5880,16599,-1000,-1314,-1484,11771,-7218,-19368,-1701,-1630,797,919,13070,0,13970,18793,d702010005000001004600000000000000001d03000016f8000040d7fc18fadefa3414bd,d702010005000002004600000000000000002dfbffffe3ceffffb458f95bf9a2031d5775
71,17867,-11325,-10465,-1912,-1929,-1306,5607,-11511,9015,14,-1137,-639,253,4671,0,2252,22484,d7020100050000010047000000000000000045cbffffd3c3ffffd71ff888f877fae64534,d7020100050000020047000000000000000015e7ffffd30900002337000efb8ffd8142cd
72,12617,-3495,-1904,-520,514,1812,-10945,-19835,-5760,435,-1263,287,951,12845,0,,28931,d702010005000001004800000000000000003149fffff259fffff890fdf802020714f048,d7020100050000020048000000000000ffffd53fffffb285ffffe98001b3fb11011f16f1
73,-13474,13429,-12878,1436,-125,-1518,8131,-1784,-11474,1403,1524,-1448,596,6825,0,9431,21396,d7020100050000010049000000000000ffffcb5e00003475ffffcdb2059cff83fa12594e,d702010005000002004900000000000000001fc3fffff908ffffd32e057b05f4fa5825a9
74,-13276,-17050,-14816,1772,-1175,-1994,16183,-7663,12876,1876,-1495,-937,578,2431,0,,41506,d702010005000001004a000000000000ffffcc24ffffbd66ffffc62006ecfb69f8360cfa,d702010005000002004a00000000000000003f37ffffe2110000324c0754fa29fc5749c3
75,15847,4632,18981,1234,-321,-76,19155,12055,-19116,1600,804,879,153,1734,0,11603,34730,d702010005000001004b00000000000000003de70000121800004a2504d2febfffb4315a,d702010005000002004b00000000000000004ad300002f17ffffb55406400324036fa239
76,5275,-5188,-5921,1579,-502,1651,-18831,16099,-9329,-864,-1023,-1259,869,1074,0,,32339,d702010005000001004c0000000000000000149bffffebbcffffe8df062bfe0a067393a4,d702010005000002004c000000000000ffffb67100003ee3ffffdb8ffca0fc01fb15da50
77,9790,3712,-11424,271,1030,-489,4362,11793,-13016,-1897,1371,1996,613,11045,0,,9864,d702010005000001004d0000000000000000263e00000e80ffffd360010f0406fe1728fb,d702010005000002004d0000000000000000110a00002e11ffffcd28f897055b07cc91fb
78,18709,14972,-10332,-1247,-546,457,-2425,4187,-3370,995,-109,1254,227,4716,0,7953,15532,d702010005000001004e0000000000000000491500003a7cffffd7a4fb21fdde01c978ff,d702010005000002004e000000000000fffff6870000105bfffff2d603e3ff9304e61592
79,2825,-713,6035,-885,343,-522,1017,-869,11368,-189,1284,1286,452,14789,0,,5633,d702010005000001004f00000000000000000b09fffffd3700001793fc8b0157fdf6a198,d702010005000002004f000000000000000003f9fffffc9b00002c68ff430504050642f7
80,2982,5208,-1412,464,1453,1064,12278,158,1887,-1380,1543,1894,801,13841,0,3626,8301,d702010005000001005000000000000000000ba600001458fffffa7c01d005ad04283af9,d702010005000002005000000000000000002ff60000009e0000075ffa9c060707663838
81,-11565,12169,-1006,56,1598,-1164,-11377,-4491,10193,1273,-659,-1370,201,11656,0,,20075,d7020100050000010051000000000000ffffd2d300002f89fffffc120038063efb74b0ea,d7020100050000020051000000000000ffffd38fffffee75000027d104f9fd6dfaa68d71
82,-1671,-14897,-13439,1665,-1135,-422,15716,-4825,10351,466,1408,-1633,922,13070,0,2566,30133,d7020100050000010052000000000000fffff979ffffc5cfffffcb810681fb91fe5ab960,d702010005000002005200000000000000003d64ffffed270000286f01d20580f99f326d
83,-10258,7178,-14371,1242,676,1004,-9477,-8018,-11655,1110,1242,170,679,4107,0,10615,11066,d7020100050000010053000000000000ffffd7ee00001c0affffc7dd04da02a403ec87af,d7020100050000020053000000000000ffffdafbffffe0aeffffd279045604da00aa58db
84,-18720,7243,5099,749,1022,-8,-13764,6186,-1898,900,1743,1718,150,8746,0,3433,5755,d7020100050000010054000000000000ffffb6e000001c4b000013eb02ed03fefff86d48,d7020100050000020054000000000000ffffca3c0000182afffff896038406cf06b60e90
85,8724,9891,9232,-374,-1885,-1116,13594,2721,-3215,-1146,98,1113,819,1476,0,4815,3150,d702010005000001005500000000000000002214000026a300002410fe8af8a3fba4baa4,d70201000500000200550000000000000000351a00000aa1fffff371fb8600620459024b
86,-19857,16211,-10611,102,-850,-547,-18560,-10830,3347,1826,-1408,1594,279,8276,0,,30458,d7020100050000010056000000000000ffffb26f00003f53ffffd68d0066fcaefddd03f0,d7020100050000020056000000000000ffffb780ffffd5b200000d130722fa80063abdae
87,2122,13989,7333,-463,1961,1492,14048,-2650,13174,1065,-1145,1772,841,11731,0,,21288,d70201000500000100570000000000000000084a000036a500001ca5fe3107a905d4a612,d7020100050000020057000000000000000036e0fffff5a6000033760429fb8706eca8d3
88,1252,9583,-12962,-14,-660,-240,-3228,7880,18590,-1582,1409,1542,924,10980,0,,31913,d7020100050000010058000000000000000004e40000256fffffcd5efff2fd6cff10047e,d7020100050000020058000000000000fffff36400001ec80000489ef9d2058106066a19
89,-16972,8546,13842,1367,774,502,-16417,-14742,3945,1541,-542,1750,441,10417,0,,25309,d7020100050000010059000000000000ffffbdb400002162000036120557030601f6b5f2,d7020100050000020059000000000000ffffbfdfffffc66a00000f690605fde206d6107b
90,4298,7301,-9535,-1974,-330,1125,-17026,-9975,9882,31,-1890,-1227,770,7393,0,5129,28546,d702010005000001005a000000000000000010ca00001c85ffffdac1f84afeb60465b4f4,d702010005000002005a000000000000ffffbd7effffd9090000269a001ff89efb35e840
91,-17799,751,-10694,1069,-1108,-245,2685,9439,18709,648,1951,1200,377,10567,0,,36872,d702010005000001005b000000000000ffffba79000002efffffd63a042dfbacff0bef7c,d702010005000002005b00000000000000000a7d000024df000049150288079f04b0f47b
92,-2376,-15915,1931,1107,-898,-551,17167,-4113,-4348,-1377,-256,1498,145,4705,0,4993,17082,d702010005000001005c000000000000fffff6b8ffffc1d50000078b0453fc7efdd91317,d702010005000002005c0000000000000000430fffffefefffffef04fa9fff0005daa540
93,-18536,1437,19584,897,417,843,3162,16469,-18231,1637,1682,1820,833,14545,0,604,46104,d702010005000001005d000000000000ffffb7980000059d00004c80038101a1034b7694,d702010005000002005d00000000000000000c5a00004055ffffb8c906650692071c981c
94,-11125,-14046,18349,1713,1251,851,-5752,11828,-8243,-86,472,74,261,9198,0,2060,37237,d702010005000001005e000000000000ffffd48bffffc922000047ad06b104e3035343b2,d702010005000002005e000000000000ffffe98800002e34ffffdfcdffaa01d8004a3d94
95,19966,18425,13656,-1109,1995,111,-1150,15953,-15344,1552,-24,-495,1000,14841,0,2918,34567,d702010005000001005f00000000000000004dfe000047f900003558fbab07cb006fae6c,d702010005000002005f000000000000fffffb8200003e51ffffc4100610ffe8fe11f37d
96,-9183,-10058,-12339,1016,-1456,1534,-15162,7573,-18992,1789,-1885,-1671,392,10548,0,,19770,d7020100050000010060000000000000ffffdc21ffffd8b6ffffcfcd03f8fa5005fefb5b,d7020100050000020060000000000000ffffc4c600001d95ffffb5d006fdf8a3f97913b2
97,-10841,7688,770,1313,-906,-914,7266,19269,13695,-1307,-85,-849,564,14851,0,4918,21133,d7020100050000010061000000000000ffffd5a700001e08000003020521fc76fc6e5956,d702010005000002006100000000000000001c6200004b450000357ffae5ffabfcafed17
98,5955,9768,-2839,151,202,-1364,-16881,-6158,-6345,1450,1774,-1538,108,3210,0,12913,9432,d70201000500000100620000000000000000174300002628fffff4e9009700cafaac161d,d7020100050000020062000000000000ffffbe0fffffe7f2ffffe73705aa06eef9fef06e
99,18545,8841,17856,-1251,-881,-290,10801,5797,10148,-1273,-946,1652,906,8288,0,3867,8496,d70201000500000100630000000000000000487100002289000045c0fb1dfc8ffede3745,d702010005000002006300000000000000002a31000016a5000027a4fb07fc4e0674081d
100,-16633,6510,8101,-1230,-53,-1827,3817,-2302,4591,677,1816,-1323,322,4288,0,,22542,d7020100050000010064000000000000ffffbf070000196e00001fa5fb32ffcbf8dd2804,d702010005000002006400000000000000000ee9fffff702000011ef02a50718fad5d127
101,-6492,17556,8431,-1409,-671,693,3977,-14838,1276,1777,-282,-1488,656,13107,0,,34787,d7020100050000010065000000000000ffffe6a400004494000020effa7ffd6102b5dc93,d702010005000002006500000000000000000f89ffffc60a000004fc06f1fee6fa304a25
102,7543,14312,5530,-641,1671,-1646,4510,12858,-5581,-313,246,1892,973,3040,0,2609,5918,d702010005000001006600000000000000001d77000037e80000159afd7f0687f9926633,d70201000500000200660000000000000000119e0000323affffea33fec700f607649ad8
103,16804,-9801,-10197,324,126,360,-9818,18016,16597,-653,-1532,-332,486,9492,0,9242,42932,d7020100050000010067000000000000000041a4ffffd9b7ffffd82b0144007e0168f610,d7020100050000020067000000000000ffffd9a600004660000040d5fd73fa04feb45f33
104,-10062,12145,-17081,-898,1202,1992,2530,-12973,17458,438,1102,1127,200,8859,0,4145,44030,d7020100050000010068000000000000ffffd8b200002f71ffffbd47fc7e04b207c8fb62,d7020100050000020068000000000000000009e2ffffcd530000443201b6044e046737eb
105,1126,18353,1321,1615,1119,-185,11950,2297,9759,-1309,-1568,-904,503,1520,0,,21122,d702010005000001006900000000000000000466000047b100000529064f045fff476f2f,d702010005000002006900000000000000002eae000008f90000261ffae3f9e0fc78a094
106,-17118,6869,12033,-1978,534,-1092,5489,5379,-9374,-370,-1861,401,359,9677,0,,31169,d702010005000001006a000000000000ffffbd2200001ad500002f01f8460216fbbc59e5,d702010005000002006a0000000000000000157100001503ffffdb62fe8ef8bb0191f42c
107,8799,-18373,12622,-1646,-505,-1022,-8633,13936,15238,-839,349,1590,922,11664,0,,36804,d702010005000001006b0000000000000000225fffffb83b0000314ef992fe07fc02cbb3,d702010005000002006b000000000000ffffde470000367000003b86fcb9015d0636ae6e
